study,pval,tstat,tcrit,mui,muin,yi,vi,N,hack,signif,affirm,Di,Mu,T2,m,t2w,se,Nmax,k,k.hacked
1157,0.00104154742081689,3.29846702736726,1.96472939098769,1.65359979070385,1.6716789970102,1.61958814606951,0.24109315749499,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1158,0.00411408312669143,2.88260858499102,1.96472939098769,1.38170291832468,1.01994083435351,1.42924484831772,0.24583398407208,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1159,0.000212499515890844,3.73116335741358,1.96472939098769,1.7606777731132,1.47693702826025,1.90305326799524,0.260143729440475,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1160,0.00081854064628176,3.36701373317407,1.96472939098769,1.01118061318999,0.995806760100257,1.66615752082839,0.244873810901412,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1161,0.000889260717571932,3.34356943087571,1.96472939098769,2.30458874141562,2.58909867785655,1.63109223417032,0.237977746688221,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1162,0.94916429706665,-0.0637883522692333,1.96472939098769,-0.185631499450748,-0.422752903345427,-0.0322028626802401,0.254862648743282,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1163,8.77938931440439e-06,4.49189948081118,1.96472939098769,1.27605042833316,2.23564609797951,2.3201860868244,0.266799848203502,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1164,5.92530424161271e-06,4.57831424963876,1.96472939098769,1.88366009101597,2.70305181798555,2.24128680171176,0.239653441425141,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1165,7.85988091339861e-06,4.51635633881516,1.96472939098769,0.463511818077959,1.36582561617715,2.0927992623301,0.214723089145807,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1166,0.132137831841486,1.50819359627194,1.96472939098769,1.28913308989498,0.82613482262518,0.732790149521107,0.236072315899188,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1167,0.0310741552572457,2.16224058750347,1.96472939098769,1.55410284188488,0.609654131124644,1.06891807567255,0.244388525905159,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1168,0.00647962028221298,2.73398723043067,1.96472939098769,1.2720426731627,0.810251394031643,1.36404086570771,0.248921150596988,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1169,0.000383042599763859,3.57587087675214,1.96472939098769,1.52412451223934,1.43656976126596,1.77563147367589,0.24657100905799,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1170,1.47503064172714e-06,4.87353609460522,1.96472939098769,1.57377914600351,2.23611151027721,2.3729453810147,0.237075737482988,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1171,0.265381218823374,1.11501379401998,1.96472939098769,0.488347990523585,0.840899582634168,0.52613892315259,0.222659065955853,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1172,7.76612816939715e-05,3.98464127403606,1.96472939098769,1.54753427123444,1.69774086278705,1.99917049101325,0.251722019339212,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1173,0.790930415958851,0.26524480821886,1.96472939098769,-0.117222464054996,-0.0750250916544886,0.135801004462947,0.26212725558002,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1174,0.458220952286536,0.742356017211645,1.96472939098769,0.992920563710497,0.930052161665489,0.359827285796329,0.234943654418925,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1175,0.000326695569838828,3.61835644170458,1.96472939098769,1.76776856659208,1.13914626837921,1.83579799906344,0.257410993607951,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1176,0.254877832023444,1.13989275164234,1.96472939098769,0.555087203453736,0.477075783434137,0.565157500200208,0.245816486449737,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1177,0.000122714024943776,3.87116084022036,1.96472939098769,2.05985315821039,1.6038445860922,1.80860777878554,0.218276186187975,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1178,0.000105432481350216,3.90911704190385,1.96472939098769,1.73106841726005,2.11854959714173,1.84254137912933,0.222165773104061,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1179,0.000838594003718156,3.36018020901618,1.96472939098769,1.92672881065441,2.12710164931665,1.70042567338914,0.256088553889463,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1180,2.52252970091466e-05,4.25267313912918,1.96472939098769,0.775551488369493,0.892624348679322,2.07678600239801,0.238484132034546,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1181,0.00604687395607396,2.75701616186123,1.96472939098769,0.703290015575693,1.00582570981394,1.38448497655543,0.252172585323804,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1182,0.462934591329247,0.73458949884929,1.96472939098769,1.34849468735012,0.52917419736821,0.383116000459501,0.272001406083362,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1183,0.0493930119926199,1.96998178174289,1.96472939098769,0.747946510113456,0.665234032458992,1.00464605196055,0.260076878542225,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1184,0.781830772737617,-0.277083450307055,1.96472939098769,0.408100672247066,0.482176232892689,-0.147386668450141,0.282940574069179,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
