study,pval,tstat,tcrit,mui,muin,yi,vi,N,hack,signif,affirm,Di
1,0.272561066783709,-1.10966182265463,2.00957523712924,0.142560069237975,-0.0307089226211097,-1.01242280166924,0.832420076778795,20,no,FALSE,FALSE,0
1,0.634698069738034,-0.47811011269385,2.00957523712924,0.142560069237975,0.0796464727737465,-0.523375091829812,1.19831291701639,20,no,FALSE,FALSE,0
1,0.886083569694545,-0.144009566625207,2.00957523712924,0.142560069237975,0.732539144286093,-0.132439620915553,0.845771742411469,20,no,FALSE,FALSE,1
2,0.317077405845095,1.01080052198475,2.00957523712924,0.125587638396186,0.307787128660008,1.03732802512443,1.05317685767486,20,no,FALSE,FALSE,0
2,0.60383037040176,0.522277613003078,2.00957523712924,0.125587638396186,-0.0840836054852387,0.567413068211958,1.18030934786649,20,no,FALSE,FALSE,0
2,0.736418675771033,0.338518654128214,2.00957523712924,0.125587638396186,-0.0973143077908276,0.349506766292499,1.06597241119949,20,no,FALSE,FALSE,0
2,0.0634874857019872,1.89879868298566,2.00957523712924,0.125587638396186,0.294639186426146,1.87112277820515,0.971061481967747,20,no,FALSE,FALSE,0
2,0.71293270649034,0.370059776837167,2.00957523712924,0.125587638396186,0.261714574517348,0.378640561084488,1.04691278829343,20,no,FALSE,FALSE,0
2,0.848029465192356,-0.192649841735858,2.00957523712924,0.125587638396186,-0.304910312767493,-0.172637497417947,0.803032182322755,20,no,FALSE,FALSE,0
2,0.20206528474462,-1.29302634483934,2.00957523712924,0.125587638396186,-0.583447709665828,-1.06291765822018,0.675747576798045,20,no,FALSE,FALSE,0
2,0.264887612947624,1.12782142553366,2.00957523712924,0.125587638396186,0.283367976136765,1.10527518947469,0.960417713174262,20,no,FALSE,FALSE,0
2,0.508704917778714,0.665731161774149,2.00957523712924,0.125587638396186,0.397270534435211,0.649402648406009,0.951547206934053,20,no,FALSE,FALSE,0
2,0.701633649280403,-0.385366687949976,2.00957523712924,0.125587638396186,-0.102822366931777,-0.386085147001581,1.00373217926862,20,no,FALSE,FALSE,0
2,0.793959179554256,-0.262600884593236,2.00957523712924,0.125587638396186,0.0787277635031303,-0.246104806934088,0.878309991983204,20,no,FALSE,FALSE,0
2,0.0902184812877898,1.72837549276119,2.00957523712924,0.125587638396186,0.0275676705296679,1.62629394318318,0.885364062639886,20,no,FALSE,FALSE,0
2,0.239560113603368,-1.19056555415318,2.00957523712924,0.125587638396186,-0.747215739930531,-1.46291700138852,1.5098463303097,20,no,FALSE,FALSE,0
2,0.185573578742809,1.34264658051903,2.00957523712924,0.125587638396186,-0.157458042704419,1.21746147056528,0.822218097142248,20,no,FALSE,FALSE,0
2,0.467214293816283,0.73272941974776,2.00957523712924,0.125587638396186,0.215752951225654,0.715932399313895,0.954677693220583,20,no,FALSE,FALSE,0
2,0.529382794213735,-0.633454278956073,2.00957523712924,0.125587638396186,0.223820492562925,-0.654713035696409,1.06824637521296,20,no,FALSE,FALSE,0
2,0.370509148591326,0.903827404284539,2.00957523712924,0.125587638396186,0.779302520344918,0.902972220055907,0.998108533454314,20,no,FALSE,FALSE,0
2,0.792288020128782,0.264782055508302,2.00957523712924,0.125587638396186,-0.327258733618341,0.222679231831718,0.707265266155018,20,no,FALSE,FALSE,0
2,0.188937316383432,1.33226198810142,2.00957523712924,0.125587638396186,-0.103862612962633,1.28955736934181,0.936919033171842,20,no,FALSE,FALSE,0
